Data;Taxa;Crimes
2004.01;11,7;33088
2004.02;12;35278
2004.03;12,8;35552
2004.04;13,1;35155
2004.05;12,2;35606
2004.06;11,7;35258
2004.07;11,2;34628
2004.08;11,4;32910
2004.09;10,9;32323
2004.10;10,5;34717
2004.11;10,7;35820
2004.12;9,6;32329
2005.01;10,2;36075
2005.02;10,7;37415
2005.03;10,8;35801
2005.04;10,8;36286
2005.05;10,2;35898
2005.06;9,4;36284
2005.07;9,4;35740
2005.08;9,4;36992
2005.09;9,6;35184
2005.10;9,6;31665
2005.11;9,6;34636
2005.12;8,4;36780
2006.01;9,3;34728
2006.02;10,1;33398
2006.03;10,4;37154
2006.04;10,4;35694
2006.05;10,2;35342
2006.06;10,4;35459
2006.07;10,7;35633
2006.08;10,6;35979
2006.09;10;36277
2006.10;9,8;34591
2006.11;9,5;30358
2006.12;8,4;34325
2007.01;9,3;39985
2007.02;9,9;35799
2007.03;10,2;40741
2007.04;10,2;38100
2007.05;10,2;39431
2007.06;9,7;37387
2007.07;9,5;36637
2007.08;9,5;38674
2007.09;9;35222
2007.10;8,7;35077
2007.11;8,2;32255
2007.12;7,4;36857
2008.01;8;33176
2008.02;8,7;32498
2008.03;8,6;31733
2008.04;8,5;32668
2008.05;7,9;31861
2008.06;7,8;33674
2008.07;8,1;30987
2008.08;7,6;31570
2008.09;7,7;30223
2008.10;7,5;32663
2008.11;7,6;32140
2008.12;6,8;32616
2009.01;8,2;35213
2009.02;8,5;32862
2009.03;9;35894
2009.04;8,9;33846
2009.05;8,8;35331
2009.06;8,1;34038
2009.07;8;33608
2009.08;8,1;34784
2009.09;7,7;33650
2009.10;7,5;34824
2009.11;7,3;32250
2009.12;6,8;32214
2010.01;7,2;35024
2010.02;7,4;18140
2010.03;7,6;21876
2010.04;7,3;20425
2010.05;7,4;19410
2010.06;7;19068
2010.07;6,9;19453
2010.08;6,7;19350
2010.09;6,2;17684
2010.10;6;35290
2010.11;5,7;34449
2010.12;5,3;35413
2011.01;6;36450
2011.02;6,3;35496
2011.03;6,4;39651
2011.04;6,4;34816
2011.05;6,3;37336
2011.06;6,2;36287
2011.07;6;36442
2011.08;6;37272
2011.09;6;37034
2011.10;5,7;37780
2011.11;5,2;37713
2011.12;4,7;34131
2012.01;5,5;53306
2012.02;5,7;39222
2012.03;6,2;42940
2012.04;6;40440
2012.05;5,8;42034
2012.06;5,9;37280
2012.07;5,4;38721
2012.08;5,3;39884
2012.09;5,4;38093
2012.10;5,3;40091
2012.11;4,9;39445
2012.12;4,6;40131
2013.01;5,5;52314
2013.02;5,6;42698
2013.03;5,7;48791
2013.04;5,8;47636
2013.05;5,8;45859
2013.06;6;46819
2013.07;5,6;44128
2013.08;5,3;45858
2013.09;5,4;43803
2013.10;5,2;45825
2013.11;4,6;45463
2013.12;4,3;45484
2014.01;4,8;46173
2014.02;5,1;44569
2014.03;5;45696
2014.04;4,8;45356
2014.05;4,9;44573
2014.06;4,8;41170
2014.07;4,9;40585
2014.08;5;41222
2014.09;4,8;41283
2014.10;4,6;42565
2014.11;4,8;41808
2014.12;4,3;40228
2015.01;5,3;51022
2015.02;5,8;44326
2015.03;6,1;49302
2015.04;6,4;48340
2015.05;6,7;47781
2015.06;6,9;42740
2015.07;7,5;46604
2015.08;7,5;48359
2015.09;7,5;46944
2015.10;7,8;47954
2015.11;7,5;49596
2015.12;6,9;47624
